dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
248,0.03335448,0.040036142,0.006681662,1.2003227
249,0.01750021,0.009463822,-0.008036389,0.5407833
250,0.04441774,0.037127092,-0.0072906464,0.8358618
251,0.024108166,0.015219682,-0.008888484,0.63130814
252,0.11328074,0.09541814,-0.017862603,0.8423156
253,0.089383885,0.027736822,-0.061647065,0.31031123
254,0.006444817,0.0059753875,-0.00046942942,0.9271617
255,0.07004973,0.016526777,-0.053522956,0.23592919
256,0.035583284,0.062797524,0.02721424,1.7648041
257,0.050172865,0.065109186,0.0149363205,1.2976972
258,0.021823386,0.030289771,0.008466385,1.3879502
259,0.013344304,0.099942416,0.08659811,7.489519
260,0.026097946,0.032149307,0.0060513616,1.2318711
261,0.014115182,0.0033349672,-0.010780214,0.2362681
262,0.0064804526,0.009921839,0.0034413869,1.5310411
263,0.040736757,0.039457243,-0.0012795143,0.9685907
264,0.019253315,0.018710652,-0.00054266304,0.9718146
265,0.009230093,0.20997211,0.20074202,22.748646
266,0.09378562,0.096266285,0.0024806634,1.0264504
267,0.013464914,0.011040308,-0.0024246061,0.81993157
268,0.13244002,0.0801833,-0.05225672,0.605431
269,0.009087735,0.052412704,0.04332497,5.767411
270,0.013588162,0.044527393,0.03093923,3.2769253
271,0.028866848,0.036359254,0.0074924063,1.2595506
272,0.06015658,0.022678778,-0.037477802,0.3769958
273,0.0010943869,0.01168041,0.010586023,10.6730175
274,0.004507372,0.026100438,0.021593066,5.790611
275,0.003206389,0.06307725,0.05987086,19.672363
276,0.023651151,0.005926599,-0.017724551,0.25058395
277,0.0021653338,0.0010693697,-0.0010959641,0.49385905
278,0.02728542,0.030903753,0.0036183335,1.1326106
279,0.035142366,0.0049304864,-0.030211879,0.14030036
280,0.0041468223,0.0054657445,0.0013189223,1.3180561
281,0.020628816,0.18079567,0.16016686,8.76423
282,0.17013781,0.14233655,-0.02780126,0.83659565
283,0.0061858096,0.012196569,0.006010759,1.9717013
284,0.017886164,0.024074772,0.0061886087,1.3459998
285,0.021708611,0.0038747902,-0.017833821,0.17849092
286,0.02904606,0.08277524,0.053729184,2.8497925
287,0.08261229,0.03630176,-0.046310533,0.4394232
288,0.018297404,0.0050307987,-0.013266605,0.27494603
289,0.00633175,0.016536634,0.010204884,2.6117003
290,0.0919643,0.03833956,-0.053624738,0.41689613
291,0.018140085,0.010676182,-0.007463903,0.5885409
292,0.012841827,0.007885298,-0.0049565295,0.6140324
293,0.015766168,0.00727697,-0.008489198,0.46155605
294,0.015195882,0.015532241,0.00033635926,1.0221349
295,0.013711336,0.01694019,0.0032288535,1.2354879
296,0.028289072,0.012250927,-0.016038146,0.43306217
297,0.006604502,0.33896333,0.33235884,51.32307
298,0.02839351,0.15018037,0.12178686,5.28925
299,0.067027375,0.028216835,-0.03881054,0.4209748
300,0.029015968,0.014953627,-0.01406234,0.51535857
301,0.013413291,0.14700851,0.13359521,10.959913
302,0.017729351,0.017752497,2.3145229e-05,1.0013055
303,0.02782887,0.014106575,-0.013722295,0.50690436
304,0.05654732,0.05807056,0.0015232377,1.0269374
305,0.0068581984,0.04842995,0.04157175,7.061614
306,0.07478107,0.1078371,0.033056036,1.4420375
307,0.005483262,0.004010308,-0.0014729537,0.7313727
308,0.003771065,0.19389977,0.1901287,51.417774
309,0.04937159,0.01820879,-0.031162798,0.3688111
310,0.011732393,0.0041771955,-0.0075551975,0.35603952
311,0.08907463,0.07166359,-0.017411038,0.80453426
312,0.051926132,0.06541818,0.013492044,1.2598314
313,0.010323047,0.22890015,0.2185771,22.1737
314,0.009927506,0.09959011,0.089662604,10.031735
315,0.0023059126,0.009415621,0.007109708,4.0832515
316,0.026248112,0.049746696,0.023498584,1.8952485
317,0.02304435,0.0033819817,-0.019662367,0.14675969
318,0.023744194,0.0041303723,-0.019613821,0.17395294
319,0.05540981,0.0132980645,-0.042111747,0.23999476
320,0.013295504,0.27574295,0.26244745,20.739563
321,0.02824144,0.020426081,-0.007815359,0.72326624
322,0.029964115,0.057039738,0.027075622,1.9036015
