dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
339,0.01103829,0.014984144,0.0039458536,1.3574697
340,0.011586525,0.17368032,0.16209379,14.989855
341,0.016293626,0.026663318,0.010369692,1.6364263
342,0.04743272,0.04310331,-0.0043294095,0.90872526
343,0.02112634,0.0919142,0.07078786,4.3506923
344,0.011562007,0.004917673,-0.0066443337,0.4253304
345,0.057391725,0.032834213,-0.024557512,0.5721071
346,0.10718884,0.3957347,0.28854585,3.6919394
347,0.00079595274,0.0005650783,-0.00023087446,0.7099395
348,0.0066626472,0.14828818,0.14162552,22.256645
349,0.00566717,0.0045500486,-0.0011171214,0.80287844
350,0.0071415785,0.016354147,0.009212568,2.2899907
351,0.002878833,0.005504772,0.002625939,1.912154
352,0.035573777,0.40783167,0.3722579,11.464391
353,0.023358969,0.0044947444,-0.018864226,0.1924205
354,0.102816895,0.13026404,0.02744715,1.2669518
355,0.009265727,0.057419688,0.04815396,6.196997
356,0.021779625,0.048434336,0.026654711,2.223837
357,0.040870182,0.42530882,0.38443863,10.406336
358,0.012457086,0.009080926,-0.0033761598,0.7289767
359,0.023981407,0.004610965,-0.019370442,0.1922725
360,0.016767003,0.0041002906,-0.012666712,0.24454524
361,0.040159028,0.27805772,0.23789869,6.923916
362,0.009840201,0.0053400556,-0.004500145,0.5426775
363,0.018450767,0.048436776,0.029986009,2.6251905
364,0.007929297,0.0071995514,-0.0007297457,0.9079684
365,0.002302216,0.020872269,0.018570052,9.066165
366,0.06964259,0.06377623,-0.005866356,0.9157648
367,0.00335444,0.08520934,0.0818549,25.401957
368,0.0139640095,0.051818453,0.037854444,3.7108579
369,0.034651987,0.00846864,-0.026183348,0.24439117
370,0.0014344513,0.0011064416,-0.00032800972,0.77133435
371,0.011031613,0.0061434982,-0.0048881145,0.55689937
372,0.030045738,0.030584363,0.0005386248,1.0179268
373,0.02228247,0.054936778,0.032654308,2.4654708
374,0.013011415,0.036866397,0.023854982,2.8333888
375,0.008073811,0.011483468,0.0034096567,1.4223107
376,0.0012997736,0.0022732473,0.00097347377,1.7489564
377,0.02753478,0.016516712,-0.011018068,0.59984905
378,0.027087402,0.05579916,0.028711759,2.0599673
379,0.024540998,0.02362609,-0.00091490895,0.96271914
380,0.01632715,0.08770508,0.07137793,5.3717327
381,0.024831345,0.008085003,-0.016746342,0.32559666
382,0.0089485515,0.009616149,0.00066759717,1.0746039
383,0.01246917,0.016679093,0.0042099236,1.3376266
384,0.0062693334,0.019177534,0.0129082,3.058943
385,0.023847014,0.053589873,0.02974286,2.2472363
386,0.09769309,0.028009554,-0.06968354,0.28670967
387,0.016970497,0.16098654,0.14401604,9.48626
388,0.030968163,0.18401633,0.15304817,5.9421134
389,0.006751658,0.009671089,0.0029194313,1.4324021
390,0.012158531,0.033786092,0.02162756,2.7787971
391,0.03040784,0.02109939,-0.00930845,0.69387996
392,0.07332478,0.22956797,0.1562432,3.1308377
393,0.06334239,0.2216378,0.15829541,3.4990437
394,0.0153706055,0.01745642,0.0020858143,1.1357015
395,0.011405239,0.005212189,-0.0061930497,0.45699957
396,0.010979453,0.006696044,-0.004283409,0.60987043
397,0.14814435,0.32175258,0.17360823,2.1718855
398,0.023969142,0.027601322,0.0036321804,1.1515356
399,0.08196162,0.24846263,0.16650102,3.031451
400,0.025099916,0.010256332,-0.014843584,0.40862018
401,0.1100028,0.2850764,0.17507361,2.5915377
402,0.006572542,0.046837687,0.040265147,7.126267
403,0.03276347,0.038100757,0.0053372867,1.1629035
404,0.011868031,0.019075146,0.007207115,1.6072713
405,0.1325642,0.13238913,-0.00017507374,0.99867934
406,0.0031357629,0.006298507,0.0031627442,2.0086043
407,0.050736703,0.11764688,0.06691018,2.3187728
408,0.02681776,0.025392089,-0.0014256705,0.94683856
409,0.007863543,0.014726005,0.0068624616,1.8726933
410,0.013636634,0.0059279343,-0.0077086994,0.43470657
411,0.011930973,0.012380807,0.00044983346,1.037703
412,0.0073525747,0.02818607,0.020833496,3.8334966
413,0.0055787857,0.012342881,0.0067640957,2.2124674
414,0.0041735778,0.04017818,0.036004603,9.626796
415,0.029611101,0.012342761,-0.017268341,0.41682884
416,0.026018545,0.09520258,0.069184035,3.6590278
417,0.01805971,0.009841987,-0.008217723,0.54496926
418,0.05894611,0.016100463,-0.042845648,0.27313867
419,0.020781256,0.008833036,-0.01194822,0.4250482
420,0.043356873,0.038599,-0.0047578737,0.89026254
421,0.022386825,0.0691217,0.046734877,3.0876064
422,0.015998922,0.07499984,0.059000917,4.6878057
423,0.03433454,0.022137769,-0.012196772,0.6447667
424,0.0044225287,0.013812027,0.009389498,3.1231062
425,0.007180637,0.0033486644,-0.0038319728,0.4663464
426,0.048696294,0.015937088,-0.032759205,0.32727516
427,0.018470358,0.011913202,-0.0065571563,0.6449903
428,0.0072844652,0.05143372,0.044149254,7.0607405
429,0.014359475,0.05813019,0.043770716,4.048211
430,0.04203606,0.010894801,-0.031141259,0.25917748
431,0.10028646,0.3234113,0.22312483,3.2248747
432,0.07240628,0.057900473,-0.014505804,0.799661
433,0.028160065,0.036145184,0.007985119,1.2835618
434,0.1281454,0.15980786,0.031662464,1.2470824
435,0.12614256,0.09167412,-0.034468442,0.7267501
436,0.007649641,0.03504208,0.02739244,4.580879
437,0.00870696,0.02691864,0.018211681,3.0916233
438,0.018452382,0.008698412,-0.0097539695,0.47139782
439,0.0150141325,0.05282818,0.03781405,3.5185637
440,0.041626126,0.04106578,-0.000560347,0.9865386
441,0.0015249958,0.0032475006,0.0017225049,2.1295145
442,0.02203898,0.022797069,0.0007580891,1.0343976
443,0.037885796,0.029129423,-0.008756373,0.7688745
444,0.0659555,0.09015919,0.024203695,1.3669701
445,0.05616976,0.04124416,-0.014925599,0.73427695
446,0.04138503,0.008451677,-0.03293335,0.20422064
447,0.036531333,0.12523627,0.08870494,3.4281878
448,0.05231692,0.062201932,0.009885013,1.1889448
449,0.050554086,0.08474043,0.034186345,1.676233
