dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
354,0.10176354,0.17161822,0.069854684,1.6864412
355,0.016864572,0.048265178,0.031400606,2.8619273
356,0.018681547,0.051647864,0.032966316,2.764646
357,0.057506647,0.4378134,0.38030675,7.613266
358,0.011652623,0.011535755,-0.000116867945,0.9899707
359,0.008525382,0.0031339277,-0.0053914543,0.3675997
360,0.017927762,0.004595893,-0.01333187,0.2563562
361,0.06547725,0.2792598,0.21378255,4.26499
362,0.023767104,0.0058436617,-0.017923443,0.24587184
363,0.017028842,0.027173586,0.010144744,1.5957389
364,0.0062116208,0.007074272,0.00086265104,1.1388769
365,0.004091597,0.02033239,0.016240794,4.969304
366,0.05860107,0.06061229,0.002011221,1.0343206
367,0.0051823766,0.08525035,0.08006797,16.450048
368,0.009010955,0.05220672,0.043195765,5.793695
369,0.019617597,0.007523827,-0.012093769,0.3835244
370,0.0072627245,0.0024033918,-0.004859333,0.3309215
371,0.02000683,0.00847489,-0.01153194,0.42359984
372,0.00883018,0.031141093,0.022310913,3.5266654
373,0.020748472,0.05007472,0.029326247,2.413417
374,0.014964552,0.02846843,0.013503878,1.9023911
375,0.0044046654,0.011445745,0.0070410795,2.5985503
376,0.0007138048,0.0026116692,0.0018978645,3.6588004
377,0.01283572,0.014652383,0.001816663,1.1415318
378,0.032306053,0.047924604,0.0156185515,1.4834559
379,0.017172938,0.022062834,0.004889896,1.2847443
380,0.029690742,0.07509173,0.045400985,2.5291293
381,0.017537314,0.0069169044,-0.01062041,0.3944107
382,0.01714927,0.009929518,-0.0072197514,0.5790053
383,0.013461934,0.01542833,0.0019663954,1.1460708
384,0.010498597,0.021012539,0.010513942,2.0014615
385,0.031087894,0.051658966,0.020571072,1.6617068
386,0.06497104,0.01759607,-0.047374967,0.27082944
387,0.021497121,0.15447286,0.13297574,7.185746
388,0.025756706,0.15295301,0.12719631,5.9383764
389,0.008433525,0.009785899,0.0013523735,1.1603569
390,0.021217385,0.028802106,0.007584721,1.3574767
391,0.06635415,0.037211098,-0.02914305,0.56079537
392,0.06916608,0.28994033,0.22077425,4.191944
393,0.05874462,0.08769891,0.028954286,1.492884
394,0.008980879,0.016153103,0.007172224,1.7986106
395,0.012357334,0.00541556,-0.0069417735,0.43824667
396,0.007235031,0.006771399,-0.00046363194,0.93591845
397,0.23439999,0.26874194,0.034341946,1.14651
398,0.02714633,0.030327467,0.0031811371,1.1171848
399,0.044945706,0.26266748,0.21772178,5.844106
400,0.040171217,0.022252502,-0.017918715,0.5539414
401,0.07792637,0.21468465,0.13675828,2.754968
402,0.006987749,0.047018748,0.040030997,6.72874
403,0.023240091,0.039151352,0.01591126,1.6846471
404,0.018374646,0.018106086,-0.0002685599,0.9853842
405,0.19891284,0.250553,0.051640168,1.2596121
406,0.008214257,0.0063802344,-0.0018340223,0.7767269
407,0.06106339,0.11503408,0.05397069,1.883847
408,0.04299364,0.023826806,-0.019166833,0.55419374
409,0.0077885343,0.00889388,0.0011053458,1.1419196
410,0.009435681,0.0051201833,-0.0043154974,0.54264057
411,0.018377932,0.010577184,-0.0078007476,0.57553726
412,0.02552245,0.025613967,9.1517344e-05,1.0035858
413,0.017134663,0.018154139,0.001019476,1.0594978
414,0.012742794,0.037577096,0.024834301,2.94889
415,0.024376996,0.011660823,-0.012716173,0.47835356
416,0.027082738,0.092956215,0.065873474,3.432305
417,0.01850737,0.011436373,-0.0070709977,0.61793613
418,0.04381042,0.011861701,-0.03194872,0.27075067
419,0.021289142,0.011207649,-0.010081493,0.526449
420,0.09357112,0.039738677,-0.05383244,0.42468956
421,0.032003008,0.063555665,0.031552657,1.9859278
422,0.024733858,0.08462973,0.059895873,3.4216146
423,0.029909508,0.014031728,-0.01587778,0.46913937
424,0.0038343035,0.012940686,0.009106383,3.374977
425,0.012428477,0.0031346832,-0.009293795,0.2522178
426,0.042117678,0.019198079,-0.022919599,0.45581996
427,0.014433006,0.010060723,-0.004372283,0.6970636
428,0.0073533566,0.047015484,0.039662126,6.3937445
429,0.012936226,0.077429965,0.06449374,5.985514
430,0.03417579,0.016149152,-0.018026639,0.4725319
431,0.12401904,0.33753645,0.21351741,2.7216501
432,0.045378346,0.048375707,0.0029973611,1.0660527
433,0.013554038,0.056784485,0.043230448,4.1894884
434,0.09642299,0.17479494,0.07837195,1.8127931
435,0.12761767,0.06530062,-0.06231705,0.5116895
436,0.017544055,0.038350396,0.02080634,2.1859481
437,0.006046038,0.02459002,0.018543981,4.067129
438,0.03436713,0.005938868,-0.02842826,0.17280664
